,natureza_acidente,bairro,tipo,dia_da_semana,mes,ano,hora_bruta
695,1,58,9,2,1,2018,14
696,0,7,9,2,1,2018,15
697,1,34,9,2,1,2018,16
698,1,24,9,2,1,2018,16
699,1,47,13,2,1,2018,17
700,1,78,9,2,1,2018,17
701,1,9,9,2,1,2018,17
702,0,78,3,2,1,2018,18
703,1,42,9,2,1,2018,18
704,1,14,9,2,1,2018,18
705,1,34,9,2,1,2018,19
706,1,49,9,3,1,2018,0
707,1,1,9,3,1,2018,6
708,1,12,9,3,1,2018,7
709,1,1,9,3,1,2018,7
710,1,8,9,3,1,2018,8
711,1,1,9,3,1,2018,9
712,1,90,9,3,1,2018,9
713,1,49,9,3,1,2018,9
714,1,12,9,3,1,2018,10
715,1,81,9,3,1,2018,10
716,1,58,9,3,1,2018,10
717,1,73,9,3,1,2018,11
718,1,14,9,3,1,2018,11
719,1,83,9,3,1,2018,12
720,1,25,9,3,1,2018,13
721,1,13,9,3,1,2018,13
722,0,22,9,3,1,2018,13
723,1,75,9,3,1,2018,13
724,0,85,9,3,1,2018,13
725,1,39,9,3,1,2018,14
726,1,1,9,3,1,2018,14
727,0,40,9,3,1,2018,14
728,0,12,10,3,1,2018,15
729,1,78,9,3,1,2018,16
730,1,13,9,3,1,2018,16
731,1,51,9,3,1,2018,16
732,1,58,9,3,1,2018,16
733,1,85,9,3,1,2018,17
734,1,12,9,3,1,2018,17
735,1,78,9,3,1,2018,18
736,1,13,9,3,1,2018,18
737,1,74,9,3,1,2018,18
738,1,58,9,3,1,2018,19
739,1,31,9,3,1,2018,20
740,1,73,9,4,1,2018,0
741,1,1,9,4,1,2018,7
742,1,58,9,4,1,2018,8
743,1,12,9,4,1,2018,8
744,1,79,9,4,1,2018,9
745,0,23,3,4,1,2018,9
746,1,13,9,4,1,2018,9
747,1,67,9,4,1,2018,9
748,1,79,9,4,1,2018,10
749,1,81,9,4,1,2018,10
750,1,40,9,4,1,2018,10
751,1,23,9,4,1,2018,11
752,1,1,9,4,1,2018,11
753,1,31,9,4,1,2018,11
754,1,10,9,4,1,2018,11
755,1,23,9,4,1,2018,11
756,0,11,9,4,1,2018,12
757,1,58,9,4,1,2018,12
758,1,13,9,4,1,2018,13
759,1,23,9,4,1,2018,13
760,1,1,9,4,1,2018,14
761,1,12,9,4,1,2018,14
762,1,49,9,4,1,2018,14
763,1,58,9,4,1,2018,14
764,0,22,9,4,1,2018,14
765,1,1,9,4,1,2018,14
766,1,78,9,4,1,2018,15
767,1,12,9,4,1,2018,15
768,1,37,9,4,1,2018,15
769,1,31,9,4,1,2018,16
770,1,87,9,4,1,2018,16
771,1,45,9,4,1,2018,17
772,1,79,9,4,1,2018,18
773,1,19,9,4,1,2018,18
774,0,83,9,4,1,2018,18
775,1,9,9,4,1,2018,19
776,1,81,9,4,1,2018,19
777,0,88,9,4,1,2018,20
778,1,75,9,5,1,2018,8
779,1,34,9,5,1,2018,9
780,0,31,9,5,1,2018,9
781,0,78,9,5,1,2018,10
782,1,31,9,5,1,2018,11
783,1,58,9,5,1,2018,11
784,1,12,9,5,1,2018,11
785,0,55,9,5,1,2018,12
786,0,75,9,5,1,2018,12
787,1,34,9,5,1,2018,12
788,0,12,9,5,1,2018,13
789,1,69,9,5,1,2018,13
790,1,85,9,5,1,2018,14
791,1,34,9,5,1,2018,15
792,1,85,9,5,1,2018,15
793,1,55,6,5,1,2018,15
794,0,49,9,5,1,2018,16
795,1,78,9,5,1,2018,17
796,1,81,9,6,1,2018,5
797,1,69,9,5,1,2018,20
798,1,31,9,5,1,2018,20
799,1,92,9,6,1,2018,3
800,1,39,6,6,1,2018,6
801,1,0,9,6,1,2018,10
802,1,92,13,6,1,2018,12
803,1,84,9,6,1,2018,12
804,1,88,9,6,1,2018,13
805,0,81,9,6,1,2018,14
806,1,55,9,6,1,2018,14
807,1,25,9,6,1,2018,15
808,1,55,9,6,1,2018,15
809,1,49,9,6,1,2018,19
